#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (1.122521779935594946e+08+0.000000000000000000e+00j)  (8.976970064206716060e+00+4.410126210720559925e+01j)
 (1.132544295827877074e+08+0.000000000000000000e+00j)  (9.051135986166906733e+00+4.446410355356534438e+01j)
 (1.142566811720159203e+08+0.000000000000000000e+00j)  (9.124707941066294126e+00+4.482711873918120205e+01j)
 (1.152589327612441331e+08+0.000000000000000000e+00j)  (9.198813477750961809e+00+4.519072736942008106e+01j)
 (1.162611843504723310e+08+0.000000000000000000e+00j)  (9.273243032595152258e+00+4.555376605213598395e+01j)
 (1.172634359397005439e+08+0.000000000000000000e+00j)  (9.347102222335703203e+00+4.591700915053406362e+01j)
 (1.182656875289287567e+08+0.000000000000000000e+00j)  (9.421498514633169563e+00+4.628084598029722940e+01j)
 (1.192679391181569695e+08+0.000000000000000000e+00j)  (9.496206404508575005e+00+4.664414524688411490e+01j)
 (1.202701907073851824e+08+0.000000000000000000e+00j)  (9.570366863431905458e+00+4.700767899777679304e+01j)
 (1.212724422966133803e+08+0.000000000000000000e+00j)  (9.645068010850225804e+00+4.737180745505423118e+01j)
 (1.222746938858415931e+08+0.000000000000000000e+00j)  (9.720069175174703702e+00+4.773543013208595909e+01j)
 (1.232769454750698060e+08+0.000000000000000000e+00j)  (9.794545198131002550e+00+4.809931669931274456e+01j)
 (1.242791970642980188e+08+0.000000000000000000e+00j)  (9.869565482411172042e+00+4.846379957219476609e+01j)
 (1.252814486535262316e+08+0.000000000000000000e+00j)  (9.944874945589129211e+00+4.882780794678378555e+01j)
 (1.262837002427544296e+08+0.000000000000000000e+00j)  (1.001968098877179258e+01+4.919210906347428391e+01j)
 (1.272859518319826424e+08+0.000000000000000000e+00j)  (1.009503491509832429e+01+4.955700867270535781e+01j)
 (1.282882034212108552e+08+0.000000000000000000e+00j)  (1.017066789236918467e+01+4.992146455735354493e+01j)
 (1.292904550104390681e+08+0.000000000000000000e+00j)  (1.024581859456358934e+01+5.028624150628373002e+01j)
 (1.302927065996672809e+08+0.000000000000000000e+00j)  (1.032152080908279679e+01+5.065161974675334733e+01j)
 (1.312949581888954788e+08+0.000000000000000000e+00j)  (1.039749265033317194e+01+5.101658463915237007e+01j)
 (1.322972097781236917e+08+0.000000000000000000e+00j)  (1.047300289438506837e+01+5.138189842973668675e+01j)
 (1.332994613673519045e+08+0.000000000000000000e+00j)  (1.054906830252144090e+01+5.174781684965867612e+01j)
 (1.343017129565801024e+08+0.000000000000000000e+00j)  (1.062539454533996874e+01+5.211335193222698337e+01j)
 (1.353039645458083153e+08+0.000000000000000000e+00j)  (1.070127943030596107e+01+5.247926333424655354e+01j)
 (1.363062161350365281e+08+0.000000000000000000e+00j)  (1.077772318566813858e+01+5.284578323773700248e+01j)
 (1.373084677242647409e+08+0.000000000000000000e+00j)  (1.085441960187275257e+01+5.321194946724985186e+01j)
 (1.383107193134929538e+08+0.000000000000000000e+00j)  (1.093069447697547503e+01+5.357851904605102078e+01j)
 (1.393129709027211666e+08+0.000000000000000000e+00j)  (1.100753195896777648e+01+5.394570153527124035e+01j)
 (1.403152224919493794e+08+0.000000000000000000e+00j)  (1.108461452671017966e+01+5.431255974308799495e+01j)
 (1.413174740811775923e+08+0.000000000000000000e+00j)  (1.116129502019528985e+01+5.467984798354793696e+01j)
 (1.423197256704058051e+08+0.000000000000000000e+00j)  (1.123854190947585252e+01+5.504775403428124037e+01j)
 (1.433219772596339881e+08+0.000000000000000000e+00j)  (1.131602686156005255e+01+5.541536493388758089e+01j)
 (1.443242288488622010e+08+0.000000000000000000e+00j)  (1.139312885389863972e+01+5.578343224097331898e+01j)
 (1.453264804380904138e+08+0.000000000000000000e+00j)  (1.147080106426877855e+01+5.615212276017359727e+01j)
 (1.463287320273186266e+08+0.000000000000000000e+00j)  (1.154870483756039157e+01+5.652054706064186718e+01j)
 (1.473309836165468395e+08+0.000000000000000000e+00j)  (1.162624445009494067e+01+5.688945389490329774e+01j)
 (1.483332352057750523e+08+0.000000000000000000e+00j)  (1.170435815291908277e+01+5.725898985530986351e+01j)
 (1.493354867950032651e+08+0.000000000000000000e+00j)  (1.178269744399457331e+01+5.762828838287647670e+01j)
 (1.503377383842314780e+08+0.000000000000000000e+00j)  (1.186069112557813909e+01+5.799809535236170888e+01j)
 (1.513399899734596908e+08+0.000000000000000000e+00j)  (1.193926284823405481e+01+5.836853782007857205e+01j)
 (1.523422415626879036e+08+0.000000000000000000e+00j)  (1.201805465134650852e+01+5.873877147272358457e+01j)
 (1.533444931519160867e+08+0.000000000000000000e+00j)  (1.209651909502705358e+01+5.910953930331267969e+01j)
 (1.543467447411442995e+08+0.000000000000000000e+00j)  (1.217556558709955716e+01+5.948094954069588169e+01j)
 (1.553489963303725123e+08+0.000000000000000000e+00j)  (1.225482716416897588e+01+5.985217950132363285e+01j)
 (1.563512479196007252e+08+0.000000000000000000e+00j)  (1.233377942150201356e+01+6.022396919947298954e+01j)
 (1.573534995088289380e+08+0.000000000000000000e+00j)  (1.241331777649598500e+01+6.059640867805418907e+01j)
 (1.583557510980571508e+08+0.000000000000000000e+00j)  (1.249306664408527645e+01+6.096869636965659822e+01j)
 (1.593580026872853637e+08+0.000000000000000000e+00j)  (1.257252401420315380e+01+6.134156928340842541e+01j)
 (1.603602542765135765e+08+0.000000000000000000e+00j)  (1.265257162331380059e+01+6.171509987050077939e+01j)
 (1.613625058657417893e+08+0.000000000000000000e+00j)  (1.273282564081705281e+01+6.208850712827281626e+01j)
 (1.623647574549700022e+08+0.000000000000000000e+00j)  (1.281280579310485557e+01+6.246252499923937052e+01j)
 (1.633670090441981852e+08+0.000000000000000000e+00j)  (1.289338037993252506e+01+6.283720893953471176e+01j)
 (1.643692606334263980e+08+0.000000000000000000e+00j)  (1.297415769523511031e+01+6.321179804184306050e+01j)
 (1.653715122226546109e+08+0.000000000000000000e+00j)  (1.305467862746325380e+01+6.358702313071051293e+01j)
 (1.663737638118828237e+08+0.000000000000000000e+00j)  (1.313579829754325345e+01+6.396292319361619860e+01j)
 (1.673760154011110365e+08+0.000000000000000000e+00j)  (1.321711745169395336e+01+6.433875693027931675e+01j)
 (1.683782669903392494e+08+0.000000000000000000e+00j)  (1.329819754137963805e+01+6.471525199995963362e+01j)
 (1.693805185795674622e+08+0.000000000000000000e+00j)  (1.337988073003461942e+01+6.509243147528320605e+01j)
 (1.703827701687956750e+08+0.000000000000000000e+00j)  (1.346176056852259961e+01+6.546957324368760567e+01j)
 (1.713850217580238879e+08+0.000000000000000000e+00j)  (1.354341855732030986e+01+6.584740173507847771e+01j)
 (1.723872733472521007e+08+0.000000000000000000e+00j)  (1.362568411806812207e+01+6.622592457847851222e+01j)
 (1.733895249364802837e+08+0.000000000000000000e+00j)  (1.370814389417132517e+01+6.660443842110558421e+01j)
 (1.743917765257084966e+08+0.000000000000000000e+00j)  (1.379039889436982591e+01+6.698366443363508438e+01j)
 (1.753940281149367094e+08+0.000000000000000000e+00j)  (1.387326600837166346e+01+6.736359531815114110e+01j)
 (1.763962797041649222e+08+0.000000000000000000e+00j)  (1.395632531555673239e+01+6.774354610376519759e+01j)
 (1.773985312933931351e+08+0.000000000000000000e+00j)  (1.403919687852018150e+01+6.812423462391731732e+01j)
 (1.784007828826213479e+08+0.000000000000000000e+00j)  (1.412268524215164867e+01+6.850563907049814816e+01j)
 (1.794030344718495607e+08+0.000000000000000000e+00j)  (1.420636418260679790e+01+6.888709246664095076e+01j)
 (1.804052860610777736e+08+0.000000000000000000e+00j)  (1.428987232753829595e+01+6.926930927053480502e+01j)
 (1.814075376503059864e+08+0.000000000000000000e+00j)  (1.437400205421514343e+01+6.965225362050540525e+01j)
 (1.824097892395341992e+08+0.000000000000000000e+00j)  (1.445832112445199513e+01+7.003527619176925612e+01j)
 (1.834120408287623823e+08+0.000000000000000000e+00j)  (1.454248629840621554e+01+7.041908801819158725e+01j)
 (1.844142924179905951e+08+0.000000000000000000e+00j)  (1.462727796175958872e+01+7.080363959677066532e+01j)
 (1.854165440072188079e+08+0.000000000000000000e+00j)  (1.471225812724019377e+01+7.118829891409814081e+01j)
 (1.864187955964470208e+08+0.000000000000000000e+00j)  (1.479710125944252219e+01+7.157377353609351189e+01j)
 (1.874210471856752336e+08+0.000000000000000000e+00j)  (1.488257592210789682e+01+7.196000072772139333e+01j)
 (1.884232987749034464e+08+0.000000000000000000e+00j)  (1.496823865010202859e+01+7.234636545928961482e+01j)
 (1.894255503641316593e+08+0.000000000000000000e+00j)  (1.505378120054063196e+01+7.273357176511767364e+01j)
 (1.904278019533598721e+08+0.000000000000000000e+00j)  (1.513996044935986163e+01+7.312154407010339696e+01j)
 (1.914300535425880849e+08+0.000000000000000000e+00j)  (1.522632770552432468e+01+7.350968404859274585e+01j)
 (1.924323051318162680e+08+0.000000000000000000e+00j)  (1.531259165881998818e+01+7.389869216395344154e+01j)
 (1.934345567210444808e+08+0.000000000000000000e+00j)  (1.539949766340456883e+01+7.428848034978305748e+01j)
 (1.944368083102726936e+08+0.000000000000000000e+00j)  (1.548659203356011638e+01+7.467846666683084322e+01j)
 (1.954390598995009065e+08+0.000000000000000000e+00j)  (1.557359999499040626e+01+7.506934795832009399e+01j)
 (1.964413114887291193e+08+0.000000000000000000e+00j)  (1.566125550883408835e+01+7.546102404103571359e+01j)
 (1.974435630779573321e+08+0.000000000000000000e+00j)  (1.574910013433095024e+01+7.585292909360244096e+01j)
 (1.984458146671855450e+08+0.000000000000000000e+00j)  (1.583687527662970851e+01+7.624575629414223954e+01j)
 (1.994480662564137578e+08+0.000000000000000000e+00j)  (1.592530363533277615e+01+7.663939369871255280e+01j)
 (2.004503178456419706e+08+0.000000000000000000e+00j)  (1.601392225558487326e+01+7.703329134711447068e+01j)
 (2.014525694348701835e+08+0.000000000000000000e+00j)  (1.610248839276818700e+01+7.742813869929005932e+01j)
 (2.024548210240983665e+08+0.000000000000000000e+00j)  (1.619171361329387793e+01+7.782381237653665096e+01j)
 (2.034570726133265793e+08+0.000000000000000000e+00j)  (1.628113067338306408e+01+7.821977801925669382e+01j)
 (2.044593242025547922e+08+0.000000000000000000e+00j)  (1.637051234643634245e+01+7.861672130721863994e+01j)
 (2.054615757917830050e+08+0.000000000000000000e+00j)  (1.646055916391594920e+01+7.901450774416267109e+01j)
 (2.064638273810112178e+08+0.000000000000000000e+00j)  (1.655079979335607732e+01+7.941261834572478051e+01j)
 (2.074660789702394307e+08+0.000000000000000000e+00j)  (1.664102221541113735e+01+7.981173498279217426e+01j)
 (2.084683305594676435e+08+0.000000000000000000e+00j)  (1.673191605023540873e+01+8.021171236037545782e+01j)
 (2.094705821486958563e+08+0.000000000000000000e+00j)  (1.682300609653962908e+01+8.061204663980142016e+01j)
 (2.104728337379240692e+08+0.000000000000000000e+00j)  (1.691409525036996797e+01+8.101341583019511461e+01j)
 (2.114750853271522820e+08+0.000000000000000000e+00j)  (1.700586232814550769e+01+8.141566412324283419e+01j)
 (2.124773369163804650e+08+0.000000000000000000e+00j)  (1.709782844416240621e+01+8.181830259658394766e+01j)
 (2.134795885056086779e+08+0.000000000000000000e+00j)  (1.718981109902724924e+01+8.222200537024164646e+01j)
