#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (7.516886919211573899e+07+0.000000000000000000e+00j)  (6.576614189632322639e+07-2.886990037001048326e+08j)
 (7.617112078134395182e+07+0.000000000000000000e+00j)  (6.055131317924088240e+07-2.897368545068094134e+08j)
 (7.717337237057214975e+07+0.000000000000000000e+00j)  (5.532018778009034693e+07-2.906793004026712179e+08j)
 (7.817562395980036259e+07+0.000000000000000000e+00j)  (5.007453262066613138e+07-2.915260885284954309e+08j)
 (7.917787554902857542e+07+0.000000000000000000e+00j)  (4.481611845762546360e+07-2.922769991364890337e+08j)
 (8.018012713825678825e+07+0.000000000000000000e+00j)  (3.954671925491476059e+07-2.929318456460377574e+08j)
 (8.118237872748500109e+07+0.000000000000000000e+00j)  (3.426811155544763058e+07-2.934904746874577403e+08j)
 (8.218463031671319902e+07+0.000000000000000000e+00j)  (2.898207385226769000e+07-2.939527661337127686e+08j)
 (8.318688190594141185e+07+0.000000000000000000e+00j)  (2.369038595942869782e+07-2.943186331200938225e+08j)
 (8.418913349516962469e+07+0.000000000000000000e+00j)  (1.839482838282521069e+07-2.945880220518618822e+08j)
 (8.519138508439783752e+07+0.000000000000000000e+00j)  (1.309718169120636582e+07-2.947609125998595953e+08j)
 (8.619363667362605035e+07+0.000000000000000000e+00j)  (7.799225887605324388e+06-2.948373176841000319e+08j)
 (8.719588826285424829e+07+0.000000000000000000e+00j)  (2.502739781416552141e+06-2.948172834453495145e+08j)
 (8.819813985208246112e+07+0.000000000000000000e+00j)  (-2.790499638647198677e+06-2.947008892047210932e+08j)
 (8.920039144131067395e+07+0.000000000000000000e+00j)  (-8.078717830486976542e+06-2.944882474113035798e+08j)
 (9.020264303053888679e+07+0.000000000000000000e+00j)  (-1.336014332320796698e+07-2.941795035778537989e+08j)
 (9.120489461976709962e+07+0.000000000000000000e+00j)  (-1.863300834013822675e+07-2.937748362045834661e+08j)
 (9.220714620899529755e+07+0.000000000000000000e+00j)  (-2.389554942004627362e+07-2.932744566910802126e+08j)
 (9.320939779822351038e+07+0.000000000000000000e+00j)  (-2.914600803632929176e+07-2.926786092364002466e+08j)
 (9.421164938745172322e+07+0.000000000000000000e+00j)  (-3.438263121394441277e+07-2.919875707273834348e+08j)
 (9.521390097667993605e+07+0.000000000000000000e+00j)  (-3.960367214385654777e+07-2.912016506152355671e+08j)
 (9.621615256590813398e+07+0.000000000000000000e+00j)  (-4.480739079477740079e+07-2.903211907804376483e+08j)
 (9.721840415513634682e+07+0.000000000000000000e+00j)  (-4.999205452197159082e+07-2.893465653860371113e+08j)
 (9.822065574436455965e+07+0.000000000000000000e+00j)  (-5.515593867290689796e+07-2.882781807193876505e+08j)
 (9.922290733359277248e+07+0.000000000000000000e+00j)  (-6.029732718952721357e+07-2.871164750224026442e+08j)
 (1.002251589228209853e+08+0.000000000000000000e+00j)  (-6.541451320692791790e+07-2.858619183103959560e+08j)
 (1.012274105120491832e+08+0.000000000000000000e+00j)  (-7.050579964821554720e+07-2.845150121795853972e+08j)
 (1.022296621012773961e+08+0.000000000000000000e+00j)  (-7.556949981533442438e+07-2.830762896033403873e+08j)
 (1.032319136905056089e+08+0.000000000000000000e+00j)  (-8.060393797564516962e+07-2.815463147172572017e+08j)
 (1.042341652797338217e+08+0.000000000000000000e+00j)  (-8.560744994404199719e+07-2.799256825931512117e+08j)
 (1.052364168689620346e+08+0.000000000000000000e+00j)  (-9.057838366039668024e+07-2.782150190020595193e+08j)
 (1.062386684581902325e+08+0.000000000000000000e+00j)  (-9.551509976212002337e+07-2.764149801663503647e+08j)
 (1.072409200474184453e+08+0.000000000000000000e+00j)  (-1.004159721516329050e+08-2.745262525010408759e+08j)
 (1.082431716366466582e+08+0.000000000000000000e+00j)  (-1.052793885585419387e+08-2.725495523444269300e+08j)
 (1.092454232258748710e+08+0.000000000000000000e+00j)  (-1.101037510963155627e+08-2.704856256781364083e+08j)
 (1.102476748151030838e+08+0.000000000000000000e+00j)  (-1.148874768132604957e+08-2.683352478367170393e+08j)
 (1.112499264043312818e+08+0.000000000000000000e+00j)  (-1.196289982375991642e+08-2.660992232068755031e+08j)
 (1.122521779935594946e+08+0.000000000000000000e+00j)  (-1.243267639164519608e+08-2.637783849164896607e+08j)
 (1.132544295827877074e+08+0.000000000000000000e+00j)  (-1.289792389485308230e+08-2.613735945135172904e+08j)
 (1.142566811720159203e+08+0.000000000000000000e+00j)  (-1.335849055103520602e+08-2.588857416349290907e+08j)
 (1.152589327612441331e+08+0.000000000000000000e+00j)  (-1.381422633757810295e+08-2.563157436657992005e+08j)
 (1.162611843504723310e+08+0.000000000000000000e+00j)  (-1.426498304287211895e+08-2.536645453886864781e+08j)
 (1.172634359397005439e+08+0.000000000000000000e+00j)  (-1.471061431687659621e+08-2.509331186234471500e+08j)
 (1.182656875289287567e+08+0.000000000000000000e+00j)  (-1.515097572096313238e+08-2.481224618576199412e+08j)
 (1.192679391181569695e+08+0.000000000000000000e+00j)  (-1.558592477701933980e+08-2.452335998675303757e+08j)
 (1.202701907073851824e+08+0.000000000000000000e+00j)  (-1.601532101579552591e+08-2.422675833302627504e+08j)
 (1.212724422966133803e+08+0.000000000000000000e+00j)  (-1.643902602447721064e+08-2.392254884266523719e+08j)
 (1.222746938858415931e+08+0.000000000000000000e+00j)  (-1.685690349346662462e+08-2.361084164354545176e+08j)
 (1.232769454750698060e+08+0.000000000000000000e+00j)  (-1.726881926235669553e+08-2.329174933188472688e+08j)
 (1.242791970642980188e+08+0.000000000000000000e+00j)  (-1.767464136508125663e+08-2.296538692994323671e+08j)
 (1.252814486535262316e+08+0.000000000000000000e+00j)  (-1.807424007422571778e+08-2.263187184288971424e+08j)
 (1.262837002427544296e+08+0.000000000000000000e+00j)  (-1.846748794448255301e+08-2.229132381485078335e+08j)
 (1.272859518319826424e+08+0.000000000000000000e+00j)  (-1.885425985523643196e+08-2.194386488416021168e+08j)
 (1.282882034212108552e+08+0.000000000000000000e+00j)  (-1.923443305226422548e+08-2.158961933782584369e+08j)
 (1.292904550104390681e+08+0.000000000000000000e+00j)  (-1.960788718853524625e+08-2.122871366523155570e+08j)
 (1.302927065996672809e+08+0.000000000000000000e+00j)  (-1.997450436409768164e+08-2.086127651109232008e+08j)
 (1.312949581888954788e+08+0.000000000000000000e+00j)  (-2.033416916503740251e+08-2.048743862768057883e+08j)
 (1.322972097781236917e+08+0.000000000000000000e+00j)  (-2.068676870149568319e+08-2.010733282634230554e+08j)
