#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (1.192679391181569695e+08+0.000000000000000000e+00j)  (-1.050330778716816837e+01-5.993793668984805834e+01j)
 (1.202701907073851824e+08+0.000000000000000000e+00j)  (-1.033907123859581212e+01-6.041602098067536275e+01j)
 (1.212724422966133803e+08+0.000000000000000000e+00j)  (-1.085840391803662541e+01-6.027570641651811201e+01j)
 (1.222746938858415931e+08+0.000000000000000000e+00j)  (-1.050576760551543742e+01-5.986062319129406717e+01j)
 (1.232769454750698060e+08+0.000000000000000000e+00j)  (-1.035536780077026009e+01-6.033046025892458175e+01j)
 (1.242791970642980188e+08+0.000000000000000000e+00j)  (-1.086163530348367701e+01-6.018377912993710765e+01j)
 (1.252814486535262316e+08+0.000000000000000000e+00j)  (-1.051080803364305183e+01-5.978434281493310465e+01j)
 (1.262837002427544296e+08+0.000000000000000000e+00j)  (-1.037361412963555374e+01-6.024621125176091141e+01j)
 (1.272859518319826424e+08+0.000000000000000000e+00j)  (-1.086724264770784742e+01-6.009349539797877071e+01j)
 (1.282882034212108552e+08+0.000000000000000000e+00j)  (-1.051818561142380659e+01-5.970911981214472064e+01j)
 (1.292904550104390681e+08+0.000000000000000000e+00j)  (-1.039361270755271072e+01-6.016327608853751485e+01j)
 (1.302927065996672809e+08+0.000000000000000000e+00j)  (-1.087499999449224397e+01-6.000483541915177454e+01j)
 (1.312949581888954788e+08+0.000000000000000000e+00j)  (-1.052767991324849817e+01-5.963497544293715436e+01j)
 (1.322972097781236917e+08+0.000000000000000000e+00j)  (-1.041518461138559815e+01-6.008166014242640074e+01j)
 (1.332994613673519045e+08+0.000000000000000000e+00j)  (-1.088470650405921525e+01-5.991778718426355965e+01j)
 (1.343017129565801024e+08+0.000000000000000000e+00j)  (-1.053909985359348589e+01-5.956193289708676986e+01j)
 (1.353039645458083153e+08+0.000000000000000000e+00j)  (-1.043817764890511057e+01-6.000136655419760956e+01j)
 (1.363062161350365281e+08+0.000000000000000000e+00j)  (-1.089618604421962544e+01-5.983233336209710984e+01j)
 (1.373084677242647409e+08+0.000000000000000000e+00j)  (-1.055227186578974496e+01-5.949000713449012068e+01j)
 (1.383107193134929538e+08+0.000000000000000000e+00j)  (-1.046245001619186787e+01-5.992239709684608329e+01j)
 (1.393129709027211666e+08+0.000000000000000000e+00j)  (-1.090927675686553222e+01-5.974846283222768051e+01j)
 (1.403152224919493794e+08+0.000000000000000000e+00j)  (-1.056704176046110533e+01-5.941921838767539299e+01j)
 (1.413174740811775923e+08+0.000000000000000000e+00j)  (-1.048788082794527021e+01-5.984475725775612887e+01j)
 (1.423197256704058051e+08+0.000000000000000000e+00j)  (-1.092384027537288915e+01-5.966616507092427213e+01j)
 (1.433219772596339881e+08+0.000000000000000000e+00j)  (-1.058327664548431457e+01-5.934958162752216282e+01j)
 (1.443242288488622010e+08+0.000000000000000000e+00j)  (-1.051436516701693691e+01-5.976844656856000171e+01j)
