#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (1.282882034212108552e+08+0.000000000000000000e+00j)  (-1.048233569284411004e+01-6.116955946096065588e+01j)
 (1.292904550104390681e+08+0.000000000000000000e+00j)  (-1.080218465517215698e+01-5.998683913200579809e+01j)
 (1.302927065996672809e+08+0.000000000000000000e+00j)  (-9.672344922724823491e+00-6.024085887971889264e+01j)
 (1.312949581888954788e+08+0.000000000000000000e+00j)  (-1.050056504148770564e+01-6.101693800461475803e+01j)
 (1.322972097781236917e+08+0.000000000000000000e+00j)  (-1.079319479562000339e+01-5.985435208501996840e+01j)
 (1.332994613673519045e+08+0.000000000000000000e+00j)  (-9.693179368601818169e+00-6.012456363828410844e+01j)
 (1.343017129565801024e+08+0.000000000000000000e+00j)  (-1.051959578718421362e+01-6.086997577634123502e+01j)
 (1.353039645458083153e+08+0.000000000000000000e+00j)  (-1.078606248146849644e+01-5.972692367689458592e+01j)
 (1.363062161350365281e+08+0.000000000000000000e+00j)  (-9.714887054071393635e+00-6.001254563123520569e+01j)
 (1.373084677242647409e+08+0.000000000000000000e+00j)  (-1.053935906551080315e+01-6.072833323269220784e+01j)
 (1.383107193134929538e+08+0.000000000000000000e+00j)  (-1.078065561231885283e+01-5.960425587059064156e+01j)
 (1.393129709027211666e+08+0.000000000000000000e+00j)  (-9.737399087113711715e+00-5.990455460969100443e+01j)
 (1.403152224919493794e+08+0.000000000000000000e+00j)  (-1.055978985204171927e+01-6.059169823365775898e+01j)
 (1.413174740811775923e+08+0.000000000000000000e+00j)  (-1.077684829057631433e+01-5.948607983159880774e+01j)
 (1.423197256704058051e+08+0.000000000000000000e+00j)  (-9.760650021706497981e+00-5.980037033534230062e+01j)
 (1.433219772596339881e+08+0.000000000000000000e+00j)  (-1.058083145112249390e+01-6.045979432806564091e+01j)
 (1.443242288488622010e+08+0.000000000000000000e+00j)  (-1.077453133602182866e+01-5.937215501660946160e+01j)
 (1.453264804380904138e+08+0.000000000000000000e+00j)  (-9.784585268133753289e+00-5.969979237299794761e+01j)
 (1.463287320273186266e+08+0.000000000000000000e+00j)  (-1.060243403987946920e+01-6.033236769417565881e+01j)
 (1.473309836165468395e+08+0.000000000000000000e+00j)  (-1.077360399213436004e+01-5.926226154828741954e+01j)
 (1.483332352057750523e+08+0.000000000000000000e+00j)  (-9.809153242784054427e+00-5.960263999078047448e+01j)
 (1.493354867950032651e+08+0.000000000000000000e+00j)  (-1.062455153258957274e+01-6.020919091892083941e+01j)
 (1.503377383842314780e+08+0.000000000000000000e+00j)  (-1.077397635267838183e+01-5.915620415117835762e+01j)
 (1.513399899734596908e+08+0.000000000000000000e+00j)  (-9.834312559846745572e+00-5.950875209031848811e+01j)
 (1.523422415626879036e+08+0.000000000000000000e+00j)  (-1.064714874101071551e+01-6.009005587298521078e+01j)
