#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (1.980057119602393508e+08+0.000000000000000000e+00j)  (-2.624269738834545862e+01+5.456496248709142094e+01j)
 (2.000057696568074226e+08+0.000000000000000000e+00j)  (1.125314334113670789e+01+7.879938843179635910e+01j)
 (2.020058273533754945e+08+0.000000000000000000e+00j)  (4.632629657766361220e+01+5.138885302249736498e+01j)
 (2.040058850499435663e+08+0.000000000000000000e+00j)  (2.946890734462078498e+01+9.532394770277571538e+00j)
 (2.060059427465116382e+08+0.000000000000000000e+00j)  (-1.895464622783882547e+01+1.450832730761492861e+01j)
 (2.080060004430797100e+08+0.000000000000000000e+00j)  (-3.149397458916183368e+01+6.653120284251325245e+01j)
 (2.100060581396477818e+08+0.000000000000000000e+00j)  (1.453740567963282082e+01+9.873505677768302746e+01j)
 (2.120061158362158537e+08+0.000000000000000000e+00j)  (6.014722015863497973e+01+6.618288449719022992e+01j)
 (2.140061735327839255e+08+0.000000000000000000e+00j)  (4.058176361069375560e+01+1.269839011732180190e+01j)
 (2.160062312293519974e+08+0.000000000000000000e+00j)  (-2.223245260902001874e+01+1.804188917372473355e+01j)
 (2.180062889259200990e+08+0.000000000000000000e+00j)  (-4.070909390570771791e+01+8.745103618588289862e+01j)
 (2.200063466224881709e+08+0.000000000000000000e+00j)  (2.045349837470689991e+01+1.344630488540655620e+02j)
 (2.220064043190562427e+08+0.000000000000000000e+00j)  (8.575936832147968403e+01+9.348575228959751371e+01j)
 (2.240064620156243145e+08+0.000000000000000000e+00j)  (6.179839677499602857e+01+1.868329296434107079e+01j)
 (2.260065197121923864e+08+0.000000000000000000e+00j)  (-2.924074720765263180e+01+2.536852724316008434e+01j)
 (2.280065774087604582e+08+0.000000000000000000e+00j)  (-6.051357833523228180e+01+1.327487111378794964e+02j)
 (2.300066351053285301e+08+0.000000000000000000e+00j)  (3.447562332169648158e+01+2.165638850467253178e+02j)
 (2.320066928018966019e+08+0.000000000000000000e+00j)  (1.498534974291637241e+02+1.608499856726560324e+02j)
 (2.340067504984646738e+08+0.000000000000000000e+00j)  (1.197663071968624422e+02+3.446176318834941554e+01j)
 (2.360068081950327456e+08+0.000000000000000000e+00j)  (-5.149094314031457031e+01+4.871772641133463111e+01j)
 (2.380068658916008174e+08+0.000000000000000000e+00j)  (-1.310380972461609872e+02+3.014769223825514359e+02j)
 (2.400069235881688893e+08+0.000000000000000000e+00j)  (1.097620540486676219e+02+5.983628685144967676e+02j)
 (2.420069812847369611e+08+0.000000000000000000e+00j)  (6.044729732167448901e+02+5.976984475536236232e+02j)
 (2.440070389813050628e+08+0.000000000000000000e+00j)  (9.874000777384010235e+02+1.644373093160948827e+02j)
 (2.460070966778731346e+08+0.000000000000000000e+00j)  (9.246429500007429851e+02-4.480017855772972553e+02j)
 (2.480071543744412065e+08+0.000000000000000000e+00j)  (4.462232072099031370e+02-8.090272767387207296e+02j)
 (2.500072120710092783e+08+0.000000000000000000e+00j)  (-7.720634754689056933e+01-7.101729168112833577e+02j)
 (2.520072697675773501e+08+0.000000000000000000e+00j)  (-2.906541038243097432e+02-3.378113432086717580e+02j)
 (2.540073274641454220e+08+0.000000000000000000e+00j)  (-1.670596696573220186e+02-5.322841724403157571e+01j)
 (2.560073851607134938e+08+0.000000000000000000e+00j)  (3.455595498246847797e+01-3.562652379669602709e+01j)
 (2.580074428572815657e+08+0.000000000000000000e+00j)  (7.793340748623755587e+01-1.636696765581623367e+02j)
 (2.600075005538496375e+08+0.000000000000000000e+00j)  (-2.983354117247084858e+01-2.170001014193390745e+02j)
 (2.620075582504177094e+08+0.000000000000000000e+00j)  (-1.165402217485572436e+02-1.307782579909313938e+02j)
 (2.640076159469857812e+08+0.000000000000000000e+00j)  (-7.893067386699523524e+01-2.383066856518189169e+01j)
 (2.660076736435538530e+08+0.000000000000000000e+00j)  (1.459840494143747947e+01-1.690076373974138235e+01j)
 (2.680077313401219249e+08+0.000000000000000000e+00j)  (4.114352210451108505e+01-8.818253580670780423e+01j)
 (2.700077890366899967e+08+0.000000000000000000e+00j)  (-1.796856949146296500e+01-1.260119951293952454e+02j)
 (2.720078467332580686e+08+0.000000000000000000e+00j)  (-7.245174248927128247e+01-8.064367981255817597e+01j)
 (2.740079044298261404e+08+0.000000000000000000e+00j)  (-5.229302364229168631e+01-1.542009577293133304e+01j)
 (2.760079621263942122e+08+0.000000000000000000e+00j)  (7.930623997781213852e+00-1.039629117446844120e+01j)
 (2.780080198229622841e+08+0.000000000000000000e+00j)  (2.733449785570269341e+01-5.904098710906363578e+01j)
 (2.800080775195303559e+08+0.000000000000000000e+00j)  (-1.263961317364149295e+01-8.780872969490199864e+01j)
 (2.820081352160984874e+08+0.000000000000000000e+00j)  (-5.231172204915199586e+01-5.808784834070583258e+01j)
 (2.840081929126665592e+08+0.000000000000000000e+00j)  (-3.937857060381818997e+01-1.143828804934471322e+01j)
 (2.860082506092346311e+08+0.000000000000000000e+00j)  (4.669338502928042978e+00-7.112455248351351678e+00j)
 (2.880083083058027029e+08+0.000000000000000000e+00j)  (2.015776569131067575e+01-4.363149644999999310e+01j)
 (2.900083660023707747e+08+0.000000000000000000e+00j)  (-9.591207162971896238e+00-6.682322815426024931e+01j)
 (2.920084236989388466e+08+0.000000000000000000e+00j)  (-4.075708952994905587e+01-4.527841553522671347e+01j)
 (2.940084813955069184e+08+0.000000000000000000e+00j)  (-3.172384041278296607e+01-9.118827671325060891e+00j)
 (2.960085390920749903e+08+0.000000000000000000e+00j)  (2.778722495961325478e+00-5.142766474429356194e+00j)
 (2.980085967886430621e+08+0.000000000000000000e+00j)  (1.579664213536568695e+01-3.412282984702454769e+01j)
 (3.000086544852111340e+08+0.000000000000000000e+00j)  (-7.600290536803501418e+00-5.358019078979074834e+01j)
 (3.020087121817792058e+08+0.000000000000000000e+00j)  (-3.325067549163693315e+01-3.703211983937760010e+01j)
 (3.040087698783472776e+08+0.000000000000000000e+00j)  (-2.664106289124610072e+01-7.603415789946294190e+00j)
 (3.060088275749153495e+08+0.000000000000000000e+00j)  (1.572288492648630021e+00-3.836448450574315050e+00j)
 (3.080088852714834213e+08+0.000000000000000000e+00j)  (1.289019592837973782e+01-2.768522856072864613e+01j)
 (3.100089429680514932e+08+0.000000000000000000e+00j)  (-6.185124026744837522e+00-4.447861251757255019e+01j)
 (3.120090006646195650e+08+0.000000000000000000e+00j)  (-2.797405367501603735e+01-3.128878879205585761e+01j)
 (3.140090583611876369e+08+0.000000000000000000e+00j)  (-2.300959335329656597e+01-6.538713070617120593e+00j)
 (3.160091160577557087e+08+0.000000000000000000e+00j)  (7.537451762544510325e-01-2.910628194816558878e+00j)
 (3.180091737543237805e+08+0.000000000000000000e+00j)  (1.083176034680595734e+01-2.304717797550175007e+01j)
 (3.200092314508918524e+08+0.000000000000000000e+00j)  (-5.117756457567993245e+00-3.785012226206427499e+01j)
 (3.220092891474599242e+08+0.000000000000000000e+00j)  (-2.405636517478641423e+01-2.706680045303784610e+01j)
 (3.240093468440279961e+08+0.000000000000000000e+00j)  (-2.027883189325783064e+01-5.752474434251705127e+00j)
 (3.260094045405960679e+08+0.000000000000000000e+00j)  (1.744522743017292710e-01-2.222593924392337161e+00j)
 (3.280094622371641397e+08+0.000000000000000000e+00j)  (9.310000615980984051e+00-1.955275228699215262e+01j)
 (3.300095199337322116e+08+0.000000000000000000e+00j)  (-4.276565539035904528e+00-3.281588332222005278e+01j)
 (3.320095776303002834e+08+0.000000000000000000e+00j)  (-2.102848560806518208e+01-2.383884668501562842e+01j)
 (3.340096353268684149e+08+0.000000000000000000e+00j)  (-1.814682898267221134e+01-5.150462087608850936e+00j)
 (3.360096930234364867e+08+0.000000000000000000e+00j)  (-2.484392094629786496e-01-1.692268659405566700e+00j)
 (3.380097507200045586e+08+0.000000000000000000e+00j)  (8.148670398169844731e+00-1.682903352507047146e+01j)
 (3.400098084165726304e+08+0.000000000000000000e+00j)  (-3.590780646970426204e+00-2.886868494899660220e+01j)
 (3.420098661131407022e+08+0.000000000000000000e+00j)  (-1.861534546584044492e+01-2.129602382136714311e+01j)
 (3.440099238097087741e+08+0.000000000000000000e+00j)  (-1.643408792238937011e+01-4.676377057689575345e+00j)
 (3.460099815062768459e+08+0.000000000000000000e+00j)  (-5.645316166947748071e-01-1.270868634907410755e+00j)
 (3.480100392028449178e+08+0.000000000000000000e+00j)  (7.240863221245244397e+00-1.464810822554056102e+01j)
 (3.500100968994129896e+08+0.000000000000000000e+00j)  (-3.016091963941805787e+00-2.569527379611394835e+01j)
 (3.520101545959810615e+08+0.000000000000000000e+00j)  (-1.664483825837995923e+01-1.924550324710120464e+01j)
 (3.540102122925491333e+08+0.000000000000000000e+00j)  (-1.502729182176020473e+01-4.294638099821218802e+00j)
 (3.560102699891172051e+08+0.000000000000000000e+00j)  (-8.056009648165530779e-01-9.269262303484707699e-01j)
 (3.580103276856852770e+08+0.000000000000000000e+00j)  (6.517682867105348166e+00-1.286252297352770491e+01j)
 (3.600103853822533488e+08+0.000000000000000000e+00j)  (-2.523490972718639647e+00-2.309120675847350412e+01j)
 (3.620104430788214207e+08+0.000000000000000000e+00j)  (-1.500367500200422022e+01-1.756007254323123945e+01j)
 (3.640105007753894925e+08+0.000000000000000000e+00j)  (-1.385103718565304121e+01-3.981091047682303152e+00j)
 (3.660105584719575644e+08+0.000000000000000000e+00j)  (-9.924377635853577351e-01-6.388582159139001293e-01j)
