#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (3.340096353268684149e+08+0.000000000000000000e+00j)  (-2.788413848102273345e+08-4.195212647620651871e+07j)
 (3.360096930234364867e+08+0.000000000000000000e+00j)  (-2.793426571667160988e+08-3.692227746191230416e+07j)
 (3.380097507200045586e+08+0.000000000000000000e+00j)  (-2.797521991409070492e+08-3.188782016991934180e+07j)
 (3.400098084165726304e+08+0.000000000000000000e+00j)  (-2.800700076142189503e+08-2.685044528857971728e+07j)
 (3.420098661131407022e+08+0.000000000000000000e+00j)  (-2.802961109487854242e+08-2.181184206382555142e+07j)
 (3.440099238097087741e+08+0.000000000000000000e+00j)  (-2.804305689323846102e+08-1.677369770719686709e+07j)
 (3.460099815062768459e+08+0.000000000000000000e+00j)  (-2.804734727121334076e+08-1.173769680544297211e+07j)
 (3.480100392028449178e+08+0.000000000000000000e+00j)  (-2.804249447169831991e+08-6.705520731912813149e+06j)
 (3.500100968994129896e+08+0.000000000000000000e+00j)  (-2.802851385690608621e+08-1.678847059948544251e+06j)
 (3.520101545959810615e+08+0.000000000000000000e+00j)  (-2.800542389839085937e+08+3.340651021504329052e+06j)
 (3.540102122925491333e+08+0.000000000000000000e+00j)  (-2.797324616596686840e+08+8.351305289858188480e+06j)
 (3.560102699891172051e+08+0.000000000000000000e+00j)  (-2.793200531552739739e+08+1.335145306820495613e+07j)
 (3.580103276856852770e+08+0.000000000000000000e+00j)  (-2.788172907577059269e+08+1.833943780178852752e+07j)
 (3.600103853822533488e+08+0.000000000000000000e+00j)  (-2.782244823383799791e+08+2.331360963141980395e+07j)
 (3.620104430788214207e+08+0.000000000000000000e+00j)  (-2.775419661987334490e+08+2.827232596362743899e+07j)
 (3.640105007753894925e+08+0.000000000000000000e+00j)  (-2.767701109050829411e+08+3.321395203733908385e+07j)
 (3.660105584719575644e+08+0.000000000000000000e+00j)  (-2.759093151128339767e+08+3.813686148688960820e+07j)
 (3.680106161685256362e+08+0.000000000000000000e+00j)  (-2.749600073801166415e+08+4.303943690115397424e+07j)
 (3.700106738650937080e+08+0.000000000000000000e+00j)  (-2.739226459709396362e+08+4.792007037860505283e+07j)
 (3.720107315616617799e+08+0.000000000000000000e+00j)  (-2.727977186479426026e+08+5.277716407809739560e+07j)
 (3.740107892582298517e+08+0.000000000000000000e+00j)  (-2.715857424548467994e+08+5.760913076518126577e+07j)
 (3.760108469547979236e+08+0.000000000000000000e+00j)  (-2.702872634886945486e+08+6.241439435375154018e+07j)
 (3.780109046513659954e+08+0.000000000000000000e+00j)  (-2.689028566619796157e+08+6.719139044283990562e+07j)
 (3.800109623479340672e+08+0.000000000000000000e+00j)  (-2.674331254547705948e+08+7.193856684835936129e+07j)
 (3.820110200445021391e+08+0.000000000000000000e+00j)  (-2.658787016569354832e+08+7.665438412961329520e+07j)
 (3.840110777410702705e+08+0.000000000000000000e+00j)  (-2.642402451005754769e+08+8.133731611038322747e+07j)
 (3.860111354376383424e+08+0.000000000000000000e+00j)  (-2.625184433827855885e+08+8.598585039441151917e+07j)
 (3.880111931342064142e+08+0.000000000000000000e+00j)  (-2.607140115788556635e+08+9.059848887509812415e+07j)
 (3.900112508307744861e+08+0.000000000000000000e+00j)  (-2.588276919460349083e+08+9.517374823923228681e+07j)
 (3.920113085273425579e+08+0.000000000000000000e+00j)  (-2.568602536179841161e+08+9.971016046458412707e+07j)
 (3.940113662239106297e+08+0.000000000000000000e+00j)  (-2.548124922900410891e+08+1.042062733111808002e+08j)
 (3.960114239204787016e+08+0.000000000000000000e+00j)  (-2.526852298954340219e+08+1.086606508060983419e+08j)
 (3.980114816170467734e+08+0.000000000000000000e+00j)  (-2.504793142725705206e+08+1.130718737215991020e+08j)
 (4.000115393136148453e+08+0.000000000000000000e+00j)  (-2.481956188235472143e+08+1.174385400464512557e+08j)
 (4.020115970101829171e+08+0.000000000000000000e+00j)  (-2.458350421640127003e+08+1.217592654502658695e+08j)
 (4.040116547067509890e+08+0.000000000000000000e+00j)  (-2.433985077645324469e+08+1.260326837406937182e+08j)
 (4.060117124033190608e+08+0.000000000000000000e+00j)  (-2.408869635835987628e+08+1.302574473133235425e+08j)
 (4.080117700998871326e+08+0.000000000000000000e+00j)  (-2.383013816924368441e+08+1.344322275941294432e+08j)
 (4.100118277964552045e+08+0.000000000000000000e+00j)  (-2.356427578917567134e+08+1.385557154743155539e+08j)
 (4.120118854930232763e+08+0.000000000000000000e+00j)  (-2.329121113206085265e+08+1.426266217374109328e+08j)
 (4.140119431895913482e+08+0.000000000000000000e+00j)  (-2.301104840574961305e+08+1.466436774784709811e+08j)
 (4.160120008861594200e+08+0.000000000000000000e+00j)  (-2.272389407139105797e+08+1.506056345152427554e+08j)
 (4.180120585827274919e+08+0.000000000000000000e+00j)  (-2.242985680204459429e+08+1.545112657911577523e+08j)
 (4.200121162792955637e+08+0.000000000000000000e+00j)  (-2.212904744056618810e+08+1.583593657700165808e+08j)
 (4.220121739758636355e+08+0.000000000000000000e+00j)  (-2.182157895678623319e+08+1.621487508222348094e+08j)
 (4.240122316724317074e+08+0.000000000000000000e+00j)  (-2.150756640399580002e+08+1.658782596025219858e+08j)
 (4.260122893689997792e+08+0.000000000000000000e+00j)  (-2.118712687475871742e+08+1.695467534188696146e+08j)
 (4.280123470655678511e+08+0.000000000000000000e+00j)  (-2.086037945606684685e+08+1.731531165927270949e+08j)
 (4.300124047621359229e+08+0.000000000000000000e+00j)  (-2.052744518385627568e+08+1.766962568102477789e+08j)
 (4.320124624587039948e+08+0.000000000000000000e+00j)  (-2.018844699690216482e+08+1.801751054644926190e+08j)
 (4.340125201552720666e+08+0.000000000000000000e+00j)  (-1.984350969011065364e+08+1.835886179884799421e+08j)
 (4.360125778518401980e+08+0.000000000000000000e+00j)  (-1.949275986722574234e+08+1.869357741789757907e+08j)
 (4.380126355484082699e+08+0.000000000000000000e+00j)  (-1.913632589296992123e+08+1.902155785109207034e+08j)
 (4.400126932449763417e+08+0.000000000000000000e+00j)  (-1.877433784463705122e+08+1.934270604423958063e+08j)
 (4.420127509415444136e+08+0.000000000000000000e+00j)  (-1.840692746315631568e+08+1.965692747100300789e+08j)
 (4.440128086381124854e+08+0.000000000000000000e+00j)  (-1.803422810364639759e+08+1.996413016147606075e+08j)
 (4.460128663346805573e+08+0.000000000000000000e+00j)  (-1.765637468547879755e+08+2.026422472978540063e+08j)
 (4.480129240312486291e+08+0.000000000000000000e+00j)  (-1.727350364186980724e+08+2.055712440071089268e+08j)
 (4.500129817278167009e+08+0.000000000000000000e+00j)  (-1.688575286902046204e+08+2.084274503531564772e+08j)
 (4.520130394243847728e+08+0.000000000000000000e+00j)  (-1.649326167482413352e+08+2.112100515557836294e+08j)
 (4.540130971209528446e+08+0.000000000000000000e+00j)  (-1.609617072716132700e+08+2.139182596802075505e+08j)
 (4.560131548175209165e+08+0.000000000000000000e+00j)  (-1.569462200180176497e+08+2.165513138632315099e+08j)
 (4.580132125140889883e+08+0.000000000000000000e+00j)  (-1.528875872993345559e+08+2.191084805292186439e+08j)
 (4.600132702106570601e+08+0.000000000000000000e+00j)  (-1.487872534533883333e+08+2.215890535958221257e+08j)
