#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (2.397454985893776417e+08+0.000000000000000000e+00j)  (-5.185952623789290072e+01-5.987721757720088789e+01j)
 (2.417433777442891300e+08+0.000000000000000000e+00j)  (2.092759324647546180e+02-1.326288075929863908e+01j)
 (2.437412568992006183e+08+0.000000000000000000e+00j)  (4.200365665845837384e+02-3.396610420499424094e+02j)
 (2.457391360541120768e+08+0.000000000000000000e+00j)  (2.000039243170736825e+02-8.220500226095042535e+02j)
 (2.477370152090235651e+08+0.000000000000000000e+00j)  (-4.341703846313897657e+02-9.700831792845833661e+02j)
 (2.497348943639350533e+08+0.000000000000000000e+00j)  (-1.013072562888039784e+03-5.377394439609417987e+02j)
 (2.517327735188465416e+08+0.000000000000000000e+00j)  (-1.069151204120507600e+03+1.879739020741076274e+02j)
 (2.537306526737580001e+08+0.000000000000000000e+00j)  (-6.040147435879937348e+02+6.645576436995074801e+02j)
 (2.557285318286694884e+08+0.000000000000000000e+00j)  (-5.539794842343202674e+01+6.270505549532399527e+02j)
 (2.577264109835809767e+08+0.000000000000000000e+00j)  (1.707302356109468633e+02+2.921647189407253222e+02j)
 (2.597242901384924352e+08+0.000000000000000000e+00j)  (6.548311091358227998e+01+5.505877753550527132e+01j)
 (2.617221692934039235e+08+0.000000000000000000e+00j)  (-8.477253110560094740e+01+7.133052374733917134e+01j)
 (2.637200484483154118e+08+0.000000000000000000e+00j)  (-7.216446750560507439e+01+1.828122623689281454e+02j)
 (2.657179276032269001e+08+0.000000000000000000e+00j)  (4.374346072436939181e+01+1.899745507855692210e+02j)
 (2.677158067581383586e+08+0.000000000000000000e+00j)  (9.296504668003522909e+01+9.027315325151693060e+01j)
 (2.697136859130498767e+08+0.000000000000000000e+00j)  (3.397544765120317578e+01+2.215904260731231545e+01j)
 (2.717115650679613352e+08+0.000000000000000000e+00j)  (-2.602071836969018293e+01+5.360041235215217625e+01j)
 (2.737094442228727937e+08+0.000000000000000000e+00j)  (-2.653846010287351120e+00+1.092891483781963444e+02j)
 (2.757073233777843118e+08+0.000000000000000000e+00j)  (5.947531975012224592e+01+9.815708307870434624e+01j)
 (2.777052025326957703e+08+0.000000000000000000e+00j)  (7.022163487016783279e+01+3.761026930570027815e+01j)
 (2.797030816876072288e+08+0.000000000000000000e+00j)  (2.380669810860771562e+01+1.177362254027865163e+01j)
 (2.817009608425187469e+08+0.000000000000000000e+00j)  (-5.502896069993346906e+00+4.596069625512605938e+01j)
 (2.836988399974302053e+08+0.000000000000000000e+00j)  (2.329694964180767869e+01+7.903739526111885993e+01j)
 (2.856967191523417234e+08+0.000000000000000000e+00j)  (6.454610851638140900e+01+5.866179467294509919e+01j)
 (2.876945983072531819e+08+0.000000000000000000e+00j)  (5.899664775624179214e+01+1.386483177939848055e+01j)
 (2.896924774621646404e+08+0.000000000000000000e+00j)  (1.879003261241330947e+01+6.629056019370867858e+00j)
 (2.916903566170761585e+08+0.000000000000000000e+00j)  (4.641485891904189920e+00+4.128798248627265366e+01j)
 (2.936882357719876170e+08+0.000000000000000000e+00j)  (3.613861650918458679e+01+6.226138671619494147e+01j)
 (2.956861149268990755e+08+0.000000000000000000e+00j)  (6.629793363788154181e+01+3.682858589650321335e+01j)
 (2.976839940818105936e+08+0.000000000000000000e+00j)  (5.211229592130951005e+01+5.985311507086417127e-01j)
 (2.996818732367220521e+08+0.000000000000000000e+00j)  (1.580783920926251973e+01+3.514905245366708897e+00j)
 (3.016797523916335106e+08+0.000000000000000000e+00j)  (1.052775766477585151e+01+3.791428656103146722e+01j)
 (3.036776315465450287e+08+0.000000000000000000e+00j)  (4.337558247711181281e+01+5.142392376464105297e+01j)
 (3.056755107014564872e+08+0.000000000000000000e+00j)  (6.665606175691546298e+01+2.304225614614020401e+01j)
 (3.076733898563680053e+08+0.000000000000000000e+00j)  (4.734731091387335056e+01-7.737206096672650801e+00j)
 (3.096712690112794638e+08+0.000000000000000000e+00j)  (1.383535846084498466e+01+1.391003140174662756e+00j)
 (3.116691481661909223e+08+0.000000000000000000e+00j)  (1.427218463859849074e+01+3.523898911740530338e+01j)
 (3.136670273211024404e+08+0.000000000000000000e+00j)  (4.774386936015245197e+01+4.372910484138483866e+01j)
 (3.156649064760138988e+08+0.000000000000000000e+00j)  (6.633662784027225712e+01+1.357381331236055644e+01j)
 (3.176627856309253573e+08+0.000000000000000000e+00j)  (4.378464452909010873e+01-1.338653727735618482e+01j)
 (3.196606647858368754e+08+0.000000000000000000e+00j)  (1.243524340319708266e+01-1.818644043610143646e-01j)
 (3.216585439407483339e+08+0.000000000000000000e+00j)  (1.679807599237684101e+01+3.298981979461807157e+01j)
 (3.236564230956597924e+08+0.000000000000000000e+00j)  (5.047310130027759811e+01+3.789874275821428284e+01j)
 (3.256543022505713105e+08+0.000000000000000000e+00j)  (6.566083163584147542e+01+6.674777022444828845e+00j)
 (3.276521814054827690e+08+0.000000000000000000e+00j)  (4.097357331691139137e+01-1.742889519497136774e+01j)
 (3.296500605603942871e+08+0.000000000000000000e+00j)  (1.138744532176052360e+01-1.421593316356066783e+00j)
 (3.316479397153057456e+08+0.000000000000000000e+00j)  (1.856922630606586466e+01+3.102367236640591841e+01j)
 (3.336458188702172041e+08+0.000000000000000000e+00j)  (5.219261645178698927e+01+3.326467814688791691e+01j)
 (3.356436980251287222e+08+0.000000000000000000e+00j)  (6.478895513792163285e+01+1.417703619455470854e+00j)
 (3.376415771800401807e+08+0.000000000000000000e+00j)  (3.866360280330799526e+01-2.044567552595808024e+01j)
 (3.396394563349516392e+08+0.000000000000000000e+00j)  (1.056729000462351742e+01-2.447301073800228099e+00j)
 (3.416373354898631573e+08+0.000000000000000000e+00j)  (1.984192011540130096e+01+2.925851966434291285e+01j)
 (3.436352146447746158e+08+0.000000000000000000e+00j)  (5.325493010934295768e+01+2.944428275563025821e+01j)
 (3.456330937996861339e+08+0.000000000000000000e+00j)  (6.380695454960699919e+01-2.733547920690436950e+00j)
 (3.476309729545975924e+08+0.000000000000000000e+00j)  (3.670283291149785043e+01-2.277608930723055281e+01j)
 (3.496288521095090508e+08+0.000000000000000000e+00j)  (9.897676420658850560e+00-3.328770047920561748e+00j)
