#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (2.157709487304398715e+08+0.000000000000000000e+00j)  (4.724436125356684357e+01+1.650372486850156406e+02j)
 (2.177688278853513598e+08+0.000000000000000000e+00j)  (1.103773699029301980e+02+1.028219658040122795e+02j)
 (2.197667070402628481e+08+0.000000000000000000e+00j)  (6.275597810221766082e+01+2.317772813060959791e+01j)
 (2.217645861951743364e+08+0.000000000000000000e+00j)  (-4.014798472000149587e+01+5.083867973592600009e+01j)
 (2.237624653500857949e+08+0.000000000000000000e+00j)  (-5.305148156714474084e+01+1.716879102297529869e+02j)
 (2.257603445049972832e+08+0.000000000000000000e+00j)  (5.888901530676270113e+01+2.329425922711173484e+02j)
 (2.277582236599087715e+08+0.000000000000000000e+00j)  (1.508363344933481471e+02+1.466804387106462571e+02j)
 (2.297561028148202300e+08+0.000000000000000000e+00j)  (8.150294499499895551e+01+3.195065094680737872e+01j)
 (2.317539819697317183e+08+0.000000000000000000e+00j)  (-7.599333714203584123e+01+7.783967381375022399e+01j)
 (2.337518611246432066e+08+0.000000000000000000e+00j)  (-9.847448870426394762e+01+2.768060127247269975e+02j)
 (2.357497402795546949e+08+0.000000000000000000e+00j)  (8.736295409069424522e+01+3.921594153260865596e+02j)
 (2.377476194344661534e+08+0.000000000000000000e+00j)  (2.557621473533941980e+02+2.579729204974291861e+02j)
 (2.397454985893776417e+08+0.000000000000000000e+00j)  (1.355739777965199835e+02+5.588551723344589561e+01j)
 (2.417433777442891300e+08+0.000000000000000000e+00j)  (-1.925564362648584336e+02+1.677956769078904244e+02j)
 (2.437412568992006183e+08+0.000000000000000000e+00j)  (-2.699973065319459238e+02+6.981705892977466874e+02j)
 (2.457391360541120768e+08+0.000000000000000000e+00j)  (2.658812551797382753e+02+1.221735557621861744e+03j)
 (2.477370152090235651e+08+0.000000000000000000e+00j)  (1.199050205177007911e+03+1.131257021468544281e+03j)
 (2.497348943639350533e+08+0.000000000000000000e+00j)  (1.830160980177572128e+03+2.775003975642023875e+02j)
 (2.517327735188465416e+08+0.000000000000000000e+00j)  (1.624512999653494035e+03-7.992178852318799045e+02j)
 (2.537306526737580001e+08+0.000000000000000000e+00j)  (7.453814371379423847e+02-1.343419775690897040e+03j)
 (2.557285318286694884e+08+0.000000000000000000e+00j)  (-1.048273120573955310e+02-1.088034052931435326e+03j)
 (2.577264109835809767e+08+0.000000000000000000e+00j)  (-3.663298409750142355e+02-4.519237626584122722e+02j)
 (2.597242901384924352e+08+0.000000000000000000e+00j)  (-1.006728280008402550e+02-5.599573459907327333e+01j)
 (2.617221692934039235e+08+0.000000000000000000e+00j)  (1.999906785000960099e+02-1.152526800064164121e+02j)
 (2.637200484483154118e+08+0.000000000000000000e+00j)  (1.887401078348841850e+02-3.419466652987647990e+02j)
 (2.657179276032269001e+08+0.000000000000000000e+00j)  (-3.174752471391298414e+01-3.748861412463641045e+02j)
 (2.677158067581383586e+08+0.000000000000000000e+00j)  (-1.453836777226313188e+02-1.848633924059040510e+02j)
 (2.697136859130498767e+08+0.000000000000000000e+00j)  (-3.619433236834603917e+01-2.263323064475245872e+01j)
 (2.717115650679613352e+08+0.000000000000000000e+00j)  (1.179484028445237982e+02-5.959933835690387127e+01j)
 (2.737094442228727937e+08+0.000000000000000000e+00j)  (1.170794011624532374e+02-1.945887856647401293e+02j)
 (2.757073233777843118e+08+0.000000000000000000e+00j)  (-1.162728438163538058e+01-2.249929944128991508e+02j)
 (2.777052025326957703e+08+0.000000000000000000e+00j)  (-8.449806685897463865e+01-1.142122197159905141e+02j)
 (2.797030816876072288e+08+0.000000000000000000e+00j)  (-1.548869309424680729e+01-1.212914216528704436e+01j)
 (2.817009608425187469e+08+0.000000000000000000e+00j)  (8.845137373831940408e+01-3.883353312301503024e+01j)
 (2.836988399974302053e+08+0.000000000000000000e+00j)  (8.896843796149971695e+01-1.349782563923336909e+02j)
 (2.856967191523417234e+08+0.000000000000000000e+00j)  (-2.262124018126890679e+00-1.596419859230479972e+02j)
 (2.876945983072531819e+08+0.000000000000000000e+00j)  (-5.586108563631781010e+01-8.136396733240903245e+01j)
 (2.896924774621646404e+08+0.000000000000000000e+00j)  (-5.241189839682653506e+00-6.869003205380207255e+00j)
 (2.916903566170761585e+08+0.000000000000000000e+00j)  (7.322373048513721017e+01-2.781531020862168191e+01j)
 (2.936882357719876170e+08+0.000000000000000000e+00j)  (7.395924340052799550e+01-1.024856327348950060e+02j)
 (2.956861149268990755e+08+0.000000000000000000e+00j)  (3.218275742638053050e+00-1.228300595846595655e+02j)
 (2.976839940818105936e+08+0.000000000000000000e+00j)  (-3.912370498725297097e+01-6.226058811248010727e+01j)
 (2.996818732367220521e+08+0.000000000000000000e+00j)  (9.018235918214680957e-01-3.638255639092368376e+00j)
 (3.016797523916335106e+08+0.000000000000000000e+00j)  (6.390212327373933476e+01-2.088101943442905295e+01j)
 (3.036776315465450287e+08+0.000000000000000000e+00j)  (6.462165080732698641e+01-8.187861555696332516e+01j)
 (3.056755107014564872e+08+0.000000000000000000e+00j)  (6.867033262387308490e+00-9.906802906767461536e+01j)
 (3.076733898563680053e+08+0.000000000000000000e+00j)  (-2.807727551829314905e+01-4.968456335455640982e+01j)
 (3.096712690112794638e+08+0.000000000000000000e+00j)  (5.016760711645376070e+00-1.405499912809722973e+00j)
 (3.116691481661909223e+08+0.000000000000000000e+00j)  (5.759056162324753103e+01-1.604359275772159421e+01j)
 (3.136670273211024404e+08+0.000000000000000000e+00j)  (5.824998429374640097e+01-6.753210697988053823e+01j)
 (3.156649064760138988e+08+0.000000000000000000e+00j)  (9.509698349178982824e+00-8.235574548547445772e+01j)
 (3.176627856309253573e+08+0.000000000000000000e+00j)  (-2.018917963694913098e+01-4.071843656859462612e+01j)
 (3.196606647858368754e+08+0.000000000000000000e+00j)  (7.983119976863933154e+00+2.614383430404105257e-01j)
 (3.216585439407483339e+08+0.000000000000000000e+00j)  (5.301952686463105380e+01-1.242591208578021522e+01j)
 (3.236564230956597924e+08+0.000000000000000000e+00j)  (5.362239852246662508e+01-5.688530564778073995e+01j)
 (3.256543022505713105e+08+0.000000000000000000e+00j)  (1.154170229061249131e+01-6.988031296979620777e+01j)
 (3.276521814054827690e+08+0.000000000000000000e+00j)  (-1.423324256274605837e+01-3.395753884141766576e+01j)
 (3.296500605603942871e+08+0.000000000000000000e+00j)  (1.023672656251501323e+01+1.575351929767141446e+00j)
 (3.316479397153057456e+08+0.000000000000000000e+00j)  (4.954382971007650838e+01-9.580654674322010678e+00j)
 (3.336458188702172041e+08+0.000000000000000000e+00j)  (5.010554476742119334e+01-4.860467833312362984e+01j)
 (3.356436980251287222e+08+0.000000000000000000e+00j)  (1.317567060129709766e+01-6.014725817606289127e+01j)
 (3.376415771800401807e+08+0.000000000000000000e+00j)  (-9.543879193726148458e+00-2.864164606422208337e+01j)
 (3.396394563349516392e+08+0.000000000000000000e+00j)  (1.201759201907591645e+01+2.653341764328902563e+00j)
 (3.416373354898631573e+08+0.000000000000000000e+00j)  (4.679997407663653064e+01-7.255371611222637185e+00j)
 (3.436352146447746158e+08+0.000000000000000000e+00j)  (4.733757109988734868e+01-4.192662626477208931e+01j)
 (3.456330937996861339e+08+0.000000000000000000e+00j)  (1.453568098652663387e+01-5.228823220244335346e+01j)
 (3.476309729545975924e+08+0.000000000000000000e+00j)  (-5.728850709359240234e+00-2.432279305896372890e+01j)
 (3.496288521095090508e+08+0.000000000000000000e+00j)  (1.346831462079865105e+01+3.565650597622012086e+00j)
 (3.516267312644205689e+08+0.000000000000000000e+00j)  (4.456685616126721783e+01-5.296094742570335967e+00j)
 (3.536246104193320274e+08+0.000000000000000000e+00j)  (4.509615289216393563e+01-3.638134170879887108e+01j)
 (3.556224895742434859e+08+0.000000000000000000e+00j)  (1.569881147240235819e+01-4.576306098243846066e+01j)
 (3.576203687291550040e+08+0.000000000000000000e+00j)  (-2.542007798838167520e+00-2.071898980234099952e+01j)
 (3.596182478840664625e+08+0.000000000000000000e+00j)  (1.467878795276733328e+01+4.357679084064187691e+00j)
 (3.616161270389779210e+08+0.000000000000000000e+00j)  (4.270191158387291352e+01-3.602704122014863675e+00j)
 (3.636140061938894391e+08+0.000000000000000000e+00j)  (4.323694083399721677e+01-3.166271780640532540e+01j)
 (3.656118853488008976e+08+0.000000000000000000e+00j)  (1.671563625239677719e+01-4.021685169676558047e+01j)
 (3.676097645037124157e+08+0.000000000000000000e+00j)  (1.793100826267624570e-01-1.764289511913751696e+01j)
 (3.696076436586238742e+08+0.000000000000000000e+00j)  (1.570873984164602355e+01+5.060829921488210204e+00j)
 (3.716055228135353327e+08+0.000000000000000000e+00j)  (4.110917196083269687e+01-2.106401865376170690e+00j)
 (3.736034019684468508e+08+0.000000000000000000e+00j)  (4.166236690908869633e+01-2.756161613693980073e+01j)
 (3.756012811233583093e+08+0.000000000000000000e+00j)  (1.762134162889603672e+01-3.540569053183484272e+01j)
 (3.775991602782697678e+08+0.000000000000000000e+00j)  (2.547746283061897543e+00-1.496438063923974049e+01j)
 (3.795970394331812859e+08+0.000000000000000000e+00j)  (1.660010506769389238e+01+5.698007074963643781e+00j)
 (3.815949185880927444e+08+0.000000000000000000e+00j)  (3.972216406485280515e+01-7.577977184774072894e-01j)
 (3.835927977430042028e+08+0.000000000000000000e+00j)  (4.030472044355094852e+01-2.392951468682264604e+01j)
 (3.855906768979157209e+08+0.000000000000000000e+00j)  (1.844211058774687118e+01-3.115569046594049851e+01j)
 (3.875885560528271794e+08+0.000000000000000000e+00j)  (4.644900487763030661e+00-1.258990746341727096e+01j)
 (3.895864352077386975e+08+0.000000000000000000e+00j)  (1.738411304331191332e+01+6.286274384055345443e+00j)
 (3.915843143626501560e+08+0.000000000000000000e+00j)  (3.849404797191792227e+01+4.794813279655241178e-01j)
 (3.935821935175616145e+08+0.000000000000000000e+00j)  (3.911624331572861024e+01-2.065784069358979380e+01j)
 (3.955800726724731326e+08+0.000000000000000000e+00j)  (1.919875396627882225e+01-2.733943522190773479e+01j)
 (3.975779518273845911e+08+0.000000000000000000e+00j)  (6.532375684913763969e+00-1.045081165202535445e+01j)
 (3.995758309822960496e+08+0.000000000000000000e+00j)  (1.808522477804019246e+01+6.837945500374646102e+00j)
 (4.015737101372075677e+08+0.000000000000000000e+00j)  (3.739126926204400547e+01+1.632193457857768149e+00j)
 (4.035715892921190262e+08+0.000000000000000000e+00j)  (3.806264124697320028e+01-1.766578746891532248e+01j)
 (4.055694684470305443e+08+0.000000000000000000e+00j)  (1.990842982853598997e+01-2.386187712005566297e+01j)
 (4.075673476019420028e+08+0.000000000000000000e+00j)  (8.258037065118994491e+00-8.496382464611151875e+00j)
 (4.095652267568534613e+08+0.000000000000000000e+00j)  (1.872292035134100630e+01+7.360986171392025490e+00j)
 (4.115631059117649794e+08+0.000000000000000000e+00j)  (3.638881201113191111e+01+2.719429823885397113e+00j)
 (4.135609850666764379e+08+0.000000000000000000e+00j)  (3.711815243011856325e+01-1.489268083092394690e+01j)
 (4.155588642215878963e+08+0.000000000000000000e+00j)  (2.058487087216760969e+01-2.065131165835489924e+01j)
 (4.175567433764994144e+08+0.000000000000000000e+00j)  (9.859116813499271714e+00-6.689269134028992703e+00j)
 (4.195546225314108729e+08+0.000000000000000000e+00j)  (1.931189396291852844e+01+7.859563627073280934e+00j)
 (4.215525016863223314e+08+0.000000000000000000e+00j)  (3.546612692631132546e+01+3.754348009229893979e+00j)
 (4.235503808412338495e+08+0.000000000000000000e+00j)  (3.626136026552876501e+01-1.229232115217448573e+01j)
 (4.255482599961453080e+08+0.000000000000000000e+00j)  (2.123764144912179219e+01-1.765259139813271361e+01j)
 (4.275461391510568261e+08+0.000000000000000000e+00j)  (1.136345672512889671e+01-5.001431317716449776e+00j)
 (4.295440183059682846e+08+0.000000000000000000e+00j)  (1.986145167373402032e+01+8.335598152818233686e+00j)
 (4.315418974608797431e+08+0.000000000000000000e+00j)  (3.460379150400751058e+01+4.746733784467366490e+00j)
 (4.335397766157912612e+08+0.000000000000000000e+00j)  (3.547196337903305619e+01-9.827547438406194047e+00j)
 (4.355376557707027197e+08+0.000000000000000000e+00j)  (2.187150996458016650e+01-1.482072679055133513e+01j)
 (4.375355349256141782e+08+0.000000000000000000e+00j)  (1.279055613860297136e+01-3.409470427200014253e+00j)
 (4.395334140805256963e+08+0.000000000000000000e+00j)  (2.037564336934425668e+01+8.791795063142700428e+00j)
 (4.415312932354371548e+08+0.000000000000000000e+00j)  (3.378213650108367716e+01+5.706757461712436807e+00j)
 (4.435291723903486729e+08+0.000000000000000000e+00j)  (3.472991141761671940e+01-7.464532116475234957e+00j)
 (4.455270515452601314e+08+0.000000000000000000e+00j)  (2.248786490294566676e+01-1.211467342203362030e+01j)
 (4.475249307001715899e+08+0.000000000000000000e+00j)  (1.415460126881068170e+01-1.889935006317672306e+00j)
 (4.495228098550831079e+08+0.000000000000000000e+00j)  (2.085600588414625634e+01+9.234768511697126314e+00j)
 (4.515206890099945664e+08+0.000000000000000000e+00j)  (3.298319454193786271e+01+6.648120027550327826e+00j)
 (4.535185681649060249e+08+0.000000000000000000e+00j)  (3.401790997841514752e+01-5.168809924745900730e+00j)
 (4.555164473198175430e+08+0.000000000000000000e+00j)  (2.308893693849360673e+01-9.493652609855631752e+00j)
 (4.575143264747290015e+08+0.000000000000000000e+00j)  (1.546975518563042939e+01-4.174589416889765148e-01j)
 (4.595122056296404600e+08+0.000000000000000000e+00j)  (2.130633392746934618e+01+9.675057404883739665e+00j)
 (4.615100847845519781e+08+0.000000000000000000e+00j)  (3.219439580267810896e+01+7.587481112230920921e+00j)
 (4.635079639394634366e+08+0.000000000000000000e+00j)  (3.332490685162847655e+01-2.905717335098767062e+00j)
 (4.655058430943749547e+08+0.000000000000000000e+00j)  (2.368183732177405432e+01-6.918156432123719668e+00j)
 (4.675037222492864132e+08+0.000000000000000000e+00j)  (1.675416280150983894e+01+1.032680121164882614e+00j)
 (4.695016014041978717e+08+0.000000000000000000e+00j)  (2.173538297206678038e+01+1.012320700697371656e+01j)
 (4.714994805591093898e+08+0.000000000000000000e+00j)  (3.140956368021156209e+01+8.540395685137964321e+00j)
 (4.734973597140208483e+08+0.000000000000000000e+00j)  (3.264616998085520549e+01-6.438192579806938376e-01j)
 (4.754952388689323068e+08+0.000000000000000000e+00j)  (2.427848655154004121e+01-4.353131715143081948e+00j)
 (4.774931180238438249e+08+0.000000000000000000e+00j)  (1.802944482885758859e+01+2.480932833632045753e+00j)
 (4.794909971787552834e+08+0.000000000000000000e+00j)  (2.215509692024090072e+01+1.058592155143558422e+01j)
 (4.814888763336667418e+08+0.000000000000000000e+00j)  (3.062576592986709656e+01+9.518267746980450639e+00j)
 (4.834867554885782599e+08+0.000000000000000000e+00j)  (3.197965340466245010e+01+1.643444203565512796e+00j)
 (4.854846346434897184e+08+0.000000000000000000e+00j)  (2.489234341188700839e+01-1.768693806017635151e+00j)
 (4.874825137984012365e+08+0.000000000000000000e+00j)  (1.931767333040735579e+01+3.942928695466337174e+00j)
 (4.894803929533126950e+08+0.000000000000000000e+00j)  (2.257716932081574157e+01+1.106569284355381200e+01j)
 (4.914782721082241535e+08+0.000000000000000000e+00j)  (2.983939047555605839e+01+1.052888758126819901e+01j)
 (4.934761512631356716e+08+0.000000000000000000e+00j)  (3.132238461233390581e+01+3.979563982669523714e+00j)
 (4.954740304180471301e+08+0.000000000000000000e+00j)  (2.553582103403213210e+01+8.623403991582627715e-01j)
 (4.974719095729585886e+08+0.000000000000000000e+00j)  (2.063958488507409683e+01+5.431740339410599638e+00j)
 (4.994697887278701067e+08+0.000000000000000000e+00j)  (2.301127247373642604e+01+1.156279564716649944e+01j)
 (5.014676678827815652e+08+0.000000000000000000e+00j)  (2.904418298055961500e+01+1.157884475254424217e+01j)
