#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (1.478430574634495378e+08+0.000000000000000000e+00j)  (-1.886062619278733976e+01-4.296146199569220947e+00j)
 (1.498409366183610260e+08+0.000000000000000000e+00j)  (-1.192922937151354335e+00-4.146523612506914702e+00j)
 (1.518388157732725143e+08+0.000000000000000000e+00j)  (4.846999694462250652e+00-2.077309790840946135e+01j)
 (1.538366949281840026e+08+0.000000000000000000e+00j)  (-8.722138970076287023e+00-3.183166746981565254e+01j)
 (1.558345740830954611e+08+0.000000000000000000e+00j)  (-2.335834212665204035e+01-2.255408652430209671e+01j)
 (1.578324532380069494e+08+0.000000000000000000e+00j)  (-1.909486593107021690e+01-5.697909653929729146e+00j)
 (1.598303323929184377e+08+0.000000000000000000e+00j)  (-1.536026634507157151e+00-4.287212480768243239e+00j)
 (1.618282115478298962e+08+0.000000000000000000e+00j)  (5.706246747427300647e+00-2.048025554679688298e+01j)
 (1.638260907027413845e+08+0.000000000000000000e+00j)  (-7.073016017204751371e+00-3.261427252073573158e+01j)
 (1.658239698576528728e+08+0.000000000000000000e+00j)  (-2.249778442575614079e+01-2.445716229294650645e+01j)
 (1.678218490125643611e+08+0.000000000000000000e+00j)  (-1.952836307452971099e+01-7.205737861766340124e+00j)
 (1.698197281674758196e+08+0.000000000000000000e+00j)  (-1.937225639038830050e+00-4.463204645553409122e+00j)
 (1.718176073223873079e+08+0.000000000000000000e+00j)  (6.644437571401084597e+00-2.034094852775065831e+01j)
 (1.738154864772987962e+08+0.000000000000000000e+00j)  (-5.397093360531054707e+00-3.373894073227090473e+01j)
 (1.758133656322102845e+08+0.000000000000000000e+00j)  (-2.180497776050653869e+01-2.672911030590244152e+01j)
 (1.778112447871217430e+08+0.000000000000000000e+00j)  (-2.021424717284054040e+01-8.904948883872286558e+00j)
 (1.798091239420332313e+08+0.000000000000000000e+00j)  (-2.425456252781522881e+00-4.688349422232906960e+00j)
 (1.818070030969447196e+08+0.000000000000000000e+00j)  (7.720497673554810092e+00-2.037751305810953539e+01j)
 (1.838048822518562078e+08+0.000000000000000000e+00j)  (-3.609036261024293424e+00-3.532871853198040668e+01j)
 (1.858027614067676663e+08+0.000000000000000000e+00j)  (-2.128286602696060115e+01-2.956047949476480952e+01j)
 (1.878006405616791546e+08+0.000000000000000000e+00j)  (-2.124537083607505394e+01-1.092406068398538643e+01j)
 (1.897985197165906429e+08+0.000000000000000000e+00j)  (-3.046990700198371815e+00-4.985847672093881577e+00j)
 (1.917963988715021014e+08+0.000000000000000000e+00j)  (9.027258658829861560e+00-2.063824349855387297e+01j)
 (1.937942780264135897e+08+0.000000000000000000e+00j)  (-1.581578284523172284e+00-3.759999457913490772e+01j)
 (1.957921571813250780e+08+0.000000000000000000e+00j)  (-2.095446380299981826e+01-3.327519742250412094e+01j)
 (1.977900363362365663e+08+0.000000000000000000e+00j)  (-2.279111216958969166e+01-1.347967871950796770e+01j)
 (1.997879154911480248e+08+0.000000000000000000e+00j)  (-3.883704387356844201e+00-5.397868331561843647e+00j)
 (2.017857946460595131e+08+0.000000000000000000e+00j)  (1.072722654567441580e+01-2.122156826819058750e+01j)
