#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (1.980057119602393508e+08+0.000000000000000000e+00j)  (-2.623172639362152481e+01+5.459122563461654210e+01j)
 (2.000057696568074226e+08+0.000000000000000000e+00j)  (1.128058153880287406e+01+7.879675662437351491e+01j)
 (2.020058273533754945e+08+0.000000000000000000e+00j)  (4.633157159875977982e+01+5.136185854497600900e+01j)
 (2.040058850499435663e+08+0.000000000000000000e+00j)  (2.944446737315957563e+01+9.518814534023059437e+00j)
 (2.060059427465116382e+08+0.000000000000000000e+00j)  (-1.897552804065618304e+01+1.452682697068204654e+01j)
 (2.080060004430797100e+08+0.000000000000000000e+00j)  (-3.148354775950926410e+01+6.655614225783355664e+01j)
 (2.100060581396477818e+08+0.000000000000000000e+00j)  (1.456345667770461105e+01+9.873245606916088946e+01j)
 (2.120061158362158537e+08+0.000000000000000000e+00j)  (6.015207484924361836e+01+6.615714775704286410e+01j)
 (2.140061735327839255e+08+0.000000000000000000e+00j)  (4.055831793177922151e+01+1.268557821913590722e+01j)
 (2.160062312293519974e+08+0.000000000000000000e+00j)  (-2.225237469788010714e+01+1.805973444724118337e+01j)
 (2.180062889259200990e+08+0.000000000000000000e+00j)  (-4.069903529985356982e+01+8.747497261442872230e+01j)
 (2.200063466224881709e+08+0.000000000000000000e+00j)  (2.047848985355149765e+01+1.344606305922796423e+02j)
 (2.220064043190562427e+08+0.000000000000000000e+00j)  (8.576413237476957363e+01+9.346123728756265336e+01j)
 (2.240064620156243145e+08+0.000000000000000000e+00j)  (6.177622188338737175e+01+1.867110153748172507e+01j)
 (2.260065197121923864e+08+0.000000000000000000e+00j)  (-2.925946066083623265e+01+2.538546258412889500e+01j)
 (2.280065774087604582e+08+0.000000000000000000e+00j)  (-6.050373080755327493e+01+1.327712044664390021e+02j)
 (2.300066351053285301e+08+0.000000000000000000e+00j)  (3.449941902706672181e+01+2.165610600373878185e+02j)
 (2.320066928018966019e+08+0.000000000000000000e+00j)  (1.498576113767843765e+02+1.608262267330984230e+02j)
 (2.340067504984646738e+08+0.000000000000000000e+00j)  (1.197445958717591452e+02+3.445018577573751628e+01j)
 (2.360068081950327456e+08+0.000000000000000000e+00j)  (-5.150908347969983225e+01+4.873427811261954190e+01j)
 (2.380068658916008174e+08+0.000000000000000000e+00j)  (-1.310286006984100311e+02+3.014987368915834622e+02j)
 (2.400069235881688893e+08+0.000000000000000000e+00j)  (1.097849764987443280e+02+5.983602253858839504e+02j)
 (2.420069812847369611e+08+0.000000000000000000e+00j)  (6.044769180981445515e+02+5.976756616547271506e+02j)
 (2.440070389813050628e+08+0.000000000000000000e+00j)  (9.873792009126399307e+02+1.644262912908696990e+02j)
 (2.460070966778731346e+08+0.000000000000000000e+00j)  (9.246255913154449217e+02-4.479857494661337114e+02j)
 (2.480071543744412065e+08+0.000000000000000000e+00j)  (4.462324773675951519e+02-8.090062638322174280e+02j)
 (2.500072120710092783e+08+0.000000000000000000e+00j)  (-7.718421657969867056e+01-7.101755066923755066e+02j)
 (2.520072697675773501e+08+0.000000000000000000e+00j)  (-2.906503101596198348e+02-3.378332832587522603e+02j)
 (2.540073274641454220e+08+0.000000000000000000e+00j)  (-1.670797414766960287e+02-5.323894308849928336e+01j)
 (2.560073851607134938e+08+0.000000000000000000e+00j)  (3.453939067572261479e+01-3.561099975865421641e+01j)
 (2.580074428572815657e+08+0.000000000000000000e+00j)  (7.794256554877868837e+01-1.636494890574755345e+02j)
 (2.600075005538496375e+08+0.000000000000000000e+00j)  (-2.981205936953245939e+01-2.170028060703853043e+02j)
 (2.620075582504177094e+08+0.000000000000000000e+00j)  (-1.165365683115865494e+02-1.307996589961760208e+02j)
 (2.640076159469857812e+08+0.000000000000000000e+00j)  (-7.895015375191579210e+01-2.384100074451107432e+01j)
 (2.660076736435538530e+08+0.000000000000000000e+00j)  (1.458225733028863047e+01-1.688587538876674898e+01j)
 (2.680077313401219249e+08+0.000000000000000000e+00j)  (4.115217985664717304e+01-8.816305739042708467e+01j)
 (2.700077890366899967e+08+0.000000000000000000e+00j)  (-1.794799485700519526e+01-1.260145060851186685e+02j)
 (2.720078467332580686e+08+0.000000000000000000e+00j)  (-7.244827704588254846e+01-8.066414540412218059e+01j)
 (2.740079044298261404e+08+0.000000000000000000e+00j)  (-5.231172671696916865e+01-1.542987830276625694e+01j)
 (2.760079621263942122e+08+0.000000000000000000e+00j)  (7.915258010130913569e+00-1.038186358979805668e+01j)
 (2.780080198229622841e+08+0.000000000000000000e+00j)  (2.734304614132118516e+01-5.902231803309473435e+01j)
 (2.800080775195303559e+08+0.000000000000000000e+00j)  (-1.261973248917231594e+01-8.781137630939085170e+01j)
 (2.820081352160984874e+08+0.000000000000000000e+00j)  (-5.230851967769099531e+01-5.810773932682668175e+01j)
 (2.840081929126665592e+08+0.000000000000000000e+00j)  (-3.939677658681446815e+01-1.144769855994325525e+01j)
 (2.860082506092346311e+08+0.000000000000000000e+00j)  (4.654480558876424645e+00-7.098421610612548172e+00j)
 (2.880083083058027029e+08+0.000000000000000000e+00j)  (2.016609077222065238e+01-4.361344612808672849e+01j)
 (2.900083660023707747e+08+0.000000000000000000e+00j)  (-9.571987670311814966e+00-6.682585667445707145e+01j)
 (2.920084236989388466e+08+0.000000000000000000e+00j)  (-4.075408077652946304e+01-4.529766600973347579e+01j)
 (2.940084813955069184e+08+0.000000000000000000e+00j)  (-3.174150233919598207e+01-9.127831965242176437e+00j)
 (2.960085390920749903e+08+0.000000000000000000e+00j)  (2.764432866578132586e+00-5.129082398365983231e+00j)
 (2.980085967886430621e+08+0.000000000000000000e+00j)  (1.580485682675273118e+01-3.410538728330678282e+01j)
 (3.000086544852111340e+08+0.000000000000000000e+00j)  (-7.581613022466114238e+00-5.358288858342058347e+01j)
 (3.020087121817792058e+08+0.000000000000000000e+00j)  (-3.324783201078049188e+01-3.705089895243167319e+01j)
 (3.040087698783472776e+08+0.000000000000000000e+00j)  (-2.665828267825764541e+01-7.612163747529682389e+00j)
 (3.060088275749153495e+08+0.000000000000000000e+00j)  (1.558396763320922140e+00-3.823157203688241967e+00j)
 (3.080088852714834213e+08+0.000000000000000000e+00j)  (1.289815572051504411e+01-2.766833106319366564e+01j)
 (3.100089429680514932e+08+0.000000000000000000e+00j)  (-6.167064843648636163e+00-4.448126986291968166e+01j)
 (3.120090006646195650e+08+0.000000000000000000e+00j)  (-2.797139615883529018e+01-3.130698225384488609e+01j)
