#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (3.800109623479340672e+08+0.000000000000000000e+00j)  (-2.590029441357076134e+00-3.083437214202433552e+00j)
 (3.820110200445021391e+08+0.000000000000000000e+00j)  (-4.597104597870140807e+00-4.992083662448651538e+00j)
 (3.840110777410702705e+08+0.000000000000000000e+00j)  (-6.945644123876626885e+00-3.684664308588213366e+00j)
 (3.860111354376383424e+08+0.000000000000000000e+00j)  (-6.377510932382955744e+00-1.104027477270431712e+00j)
 (3.880111931342064142e+08+0.000000000000000000e+00j)  (-3.751396626338469709e+00-8.832270627677535346e-01j)
 (3.900112508307744861e+08+0.000000000000000000e+00j)  (-2.730253757886298871e+00-3.291470161435992026e+00j)
 (3.920113085273425579e+08+0.000000000000000000e+00j)  (-4.649514594573984638e+00-4.972169691508634415e+00j)
 (3.940113662239106297e+08+0.000000000000000000e+00j)  (-6.755576176061784288e+00-3.681367704762905202e+00j)
 (3.960114239204787016e+08+0.000000000000000000e+00j)  (-6.131719945438692143e+00-1.338749461433820453e+00j)
 (3.980114816170467734e+08+0.000000000000000000e+00j)  (-3.717522147098755614e+00-1.244507160126493650e+00j)
 (4.000115393136148453e+08+0.000000000000000000e+00j)  (-2.882569597206170897e+00-3.490098225433698076e+00j)
 (4.020115970101829171e+08+0.000000000000000000e+00j)  (-4.703849123066209614e+00-4.945359225718994445e+00j)
 (4.040116547067509890e+08+0.000000000000000000e+00j)  (-6.565831448037350526e+00-3.681746835190188971e+00j)
 (4.060117124033190608e+08+0.000000000000000000e+00j)  (-5.895020566841083109e+00-1.582579454914851746e+00j)
 (4.080117700998871326e+08+0.000000000000000000e+00j)  (-3.700333151226402162e+00-1.608974114446965142e+00j)
 (4.100118277964552045e+08+0.000000000000000000e+00j)  (-3.048241391806455702e+00-3.683155467389720439e+00j)
 (4.120118854930232763e+08+0.000000000000000000e+00j)  (-4.761785959622002018e+00-4.913397678537106295e+00j)
 (4.140119431895913482e+08+0.000000000000000000e+00j)  (-6.376269847391718315e+00-3.686593567337984378e+00j)
 (4.160120008861594200e+08+0.000000000000000000e+00j)  (-5.665923997650915922e+00-1.837784376245503726e+00j)
 (4.180120585827274919e+08+0.000000000000000000e+00j)  (-3.699425398937336684e+00-1.980593684399056142e+00j)
 (4.200121162792955637e+08+0.000000000000000000e+00j)  (-3.228831306361946929e+00-3.874060038013250828e+00j)
 (4.220121739758636355e+08+0.000000000000000000e+00j)  (-4.824961983602547022e+00-4.877700864929847668e+00j)
 (4.240122316724317074e+08+0.000000000000000000e+00j)  (-6.186700425311218332e+00-3.696721239794750868e+00j)
 (4.260122893689997792e+08+0.000000000000000000e+00j)  (-5.443226313739583766e+00-2.106767270167669182e+00j)
 (4.280123470655678511e+08+0.000000000000000000e+00j)  (-3.714896376004379164e+00-2.363166447089042776e+00j)
 (4.300124047621359229e+08+0.000000000000000000e+00j)  (-3.426167381249851651e+00-4.065723798242268039e+00j)
 (4.320124624587039948e+08+0.000000000000000000e+00j)  (-4.894818448657967558e+00-4.839253929999128623e+00j)
 (4.340125201552720666e+08+0.000000000000000000e+00j)  (-5.996561300005102346e+00-3.712976346215580925e+00j)
 (4.360125778518401980e+08+0.000000000000000000e+00j)  (-5.225643604554680799e+00-2.392342515128840663e+00j)
 (4.380126355484082699e+08+0.000000000000000000e+00j)  (-3.747172564134237938e+00-2.760850428529466161e+00j)
 (4.400126932449763417e+08+0.000000000000000000e+00j)  (-3.642500113544792306e+00-4.261103668976558012e+00j)
 (4.420127509415444136e+08+0.000000000000000000e+00j)  (-4.972996626260954400e+00-4.798955077457332408e+00j)
 (4.440128086381124854e+08+0.000000000000000000e+00j)  (-5.805341354683558386e+00-3.736307752785550385e+00j)
 (4.460128663346805573e+08+0.000000000000000000e+00j)  (-5.012111736489644365e+00-2.697621810054923852e+00j)
 (4.480129240312486291e+08+0.000000000000000000e+00j)  (-3.797155287844459881e+00-3.177973394196417001e+00j)
 (4.500129817278167009e+08+0.000000000000000000e+00j)  (-3.880495171739699600e+00-4.463006754014817723e+00j)
 (4.520130394243847728e+08+0.000000000000000000e+00j)  (-5.061174741189794268e+00-4.757495270946901833e+00j)
 (4.540130971209528446e+08+0.000000000000000000e+00j)  (-5.612332601462413528e+00-3.767834588773946614e+00j)
 (4.560131548175209165e+08+0.000000000000000000e+00j)  (-4.801636957493283120e+00-3.026298804785776841e+00j)
 (4.580132125140889883e+08+0.000000000000000000e+00j)  (-3.866329328322640091e+00-3.619373406129549497e+00j)
 (4.600132702106570601e+08+0.000000000000000000e+00j)  (-4.143549724922484856e+00-4.674234237702711958e+00j)
 (4.620133279072251320e+08+0.000000000000000000e+00j)  (-5.161335863130036117e+00-4.715201313577500386e+00j)
 (4.640133856037932038e+08+0.000000000000000000e+00j)  (-5.416616722905131631e+00-3.808545937501230938e+00j)
 (4.660134433003612757e+08+0.000000000000000000e+00j)  (-4.592997025108105369e+00-3.382473221316825818e+00j)
 (4.680135009969293475e+08+0.000000000000000000e+00j)  (-3.956364136031838008e+00-4.090490021931773690e+00j)
 (4.700135586934974194e+08+0.000000000000000000e+00j)  (-4.435469416865140069e+00-4.897900393256592544e+00j)
 (4.720136163900654912e+08+0.000000000000000000e+00j)  (-5.275586365589149729e+00-4.672491499986680452e+00j)
 (4.740136740866335630e+08+0.000000000000000000e+00j)  (-5.217056360119751268e+00-3.859840649364665754e+00j)
 (4.760137317832016349e+08+0.000000000000000000e+00j)  (-4.384965793813834445e+00-3.771194545778105311e+00j)
